SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,DATE,TOTALTRADES,ISIN
ESSARSHPNG,EQ,11.75,11.95,11.5,11.5,11.5,12.1,248587,2875828.5,2021-06-16,643,INE122M01019
ESTER,EQ,138.95,140.85,137,137.15,137,139.15,177036,24451536.55,2021-06-16,4178,INE778B01029
EUROTEXIND,EQ,8.7,8.7,8.7,8.7,8.7,8.3,200,1740,2021-06-16,1,INE022C01012
EVEREADY,EQ,335.1,339.5,325.4,327,326.95,334.75,303716,100598267.4,2021-06-16,6320,INE128A01029
EVERESTIND,EQ,376.9,379.5,367,372.85,373,374.9,95668,35693100.25,2021-06-16,4167,INE295A01018
EXCEL,BE,3.2,3.2,3.2,3.2,3.2,3.05,44084,141068.8,2021-06-16,27,INE688J01015
EXCELINDUS,EQ,1148.95,1148.95,1112.1,1125.55,1128.1,1135.85,25277,28566131.5,2021-06-16,3065,INE369A01029
EXIDEIND,EQ,193.25,193.65,190.15,191.05,190.95,193.3,1286459,246667679.8,2021-06-16,13035,INE302A01020
EXPLEOSOL,EQ,661.35,665.2,644.1,654.15,648.2,655.35,26114,17081626.9,2021-06-16,3081,INE201K01015
FACT,EQ,127.5,148.4,125.8,144.4,144.5,127.1,7398397,1043472415,2021-06-16,57872,INE188A01015
FAIRCHEMOR,EQ,1395.5,1414.9,1354.1,1396.75,1400,1395.5,37797,52447961,2021-06-16,3585,INE0DNW01011
FCL,EQ,93,93,89.2,89.5,89.5,91.55,408573,36870828.25,2021-06-16,4600,INE045J01026
FCONSUMER,EQ,11.45,11.95,10.25,10.25,10.25,11.35,91737547,983262995.5,2021-06-16,64724,INE220J01025
FCSSOFT,BE,1.8,1.8,1.8,1.8,1.8,1.75,808786,1455814.8,2021-06-16,380,INE512B01022
FDC,EQ,383,383,354,359.85,358.05,382.35,1328824,487608120.3,2021-06-16,24324,INE258B01022
FEDERALBNK,EQ,86,86.7,84.75,84.95,84.95,86,13901357,1187946907,2021-06-16,41920,INE171A01029
FEL,EQ,14,14,12.7,12.7,12.7,13.35,11398381,151084451.1,2021-06-16,8545,INE623B01027
FELDVR,EQ,17,17,15.4,15.4,15.4,16.2,366264,5900353.2,2021-06-16,1086,IN9623B01058
FIEMIND,EQ,680,688,665.9,668.55,670.05,675.2,29082,19670771.15,2021-06-16,2827,INE737H01014
FILATEX,EQ,110.6,110.6,99.3,100.95,101,110.6,2538008,259429236.9,2021-06-16,21179,INE816B01027
FILDF2GP,MF,0.34,0.34,0.28,0.28,0.28,0.31,12220,3541.6,2021-06-16,8,INF090I01UG0
FILDF2GPD,MF,0.84,1.02,0.84,1.02,1.02,0.93,2096,1957.92,2021-06-16,7,INF090I01UJ4
FINCABLES,EQ,500,504,475,481.65,483.45,500,253911,124064696.2,2021-06-16,10566,INE235A01022
FINEORG,EQ,2899.8,2929,2855,2866.5,2870,2891.35,32654,93855957.5,2021-06-16,8802,INE686Y01026
FINPIPE,EQ,169.35,169.95,167,167.9,167.9,167.05,305145,51381803.65,2021-06-16,6212,INE183A01024
FLEXITUFF,BE,24,25.25,23,23.1,23.1,24.2,30146,709128.6,2021-06-16,242,INE060J01017
FLFL,EQ,89.5,89.6,81.1,81.1,81.1,85.35,1145582,96646821.4,2021-06-16,9090,INE452O01016
FLUOROCHEM,EQ,1151,1170,1121,1143.5,1144,1150.1,82046,94579071.45,2021-06-16,4962,INE09N301011
FMGOETZE,EQ,338,342.95,330.85,337.1,334.95,337,234670,79052445.95,2021-06-16,5927,INE529A01010
FMNL,EQ,20.1,20.15,18.25,18.25,18.25,19.2,341935,6476256.25,2021-06-16,1044,INE360L01017
FOCUS,SM,33.75,33.75,31.1,32.35,32.8,32.25,69000,2266200,2021-06-16,16,INE593W01010
FORCEMOT,EQ,1249.95,1260,1228,1232,1228,1245.9,20314,25169808.45,2021-06-16,2770,INE451A01017
FORTIS,EQ,232,241.45,229.1,238.1,238.35,232.6,4427938,1047225688,2021-06-16,39788,INE061F01013
FOSECOIND,EQ,1420.75,1426.1,1391,1410.1,1405.1,1420.75,2086,2949774.45,2021-06-16,481,INE519A01011
FRETAIL,EQ,76.25,76.25,69.05,69.05,69.05,72.65,13024857,935460587.1,2021-06-16,44424,INE752P01024
FSC,EQ,119,122,110.85,110.85,110.85,116.65,721276,82408431.85,2021-06-16,6293,INE935Q01015
FSL,EQ,165,169.4,162.55,165,164.9,164.45,3352372,556677041.9,2021-06-16,24814,INE684F01012
GABRIEL,EQ,122.9,125.9,120.2,121.2,121,122.9,497108,60552549.15,2021-06-16,8993,INE524A01029
GAEL,EQ,171.5,172.7,167,167.4,167.6,170.5,303804,51440207.35,2021-06-16,5382,INE036B01030
GAIL,EQ,163.3,165.75,161.2,161.75,161.5,163,12495046,2037834008,2021-06-16,62246,INE129A01019
GAL,BE,2.85,2.85,2.7,2.85,2.85,2.75,642165,1812338,2021-06-16,739,INE482J01021
GALAXYSURF,EQ,3078.85,3079,3026,3030.35,3031.35,3078.85,26511,80792562.95,2021-06-16,5256,INE600K01018
GALLANTT,EQ,68.35,69.65,66.15,66.45,66.3,68.6,67854,4618859.2,2021-06-16,1709,INE297H01019
GALLISPAT,EQ,53.2,53.95,51,52.05,52,53.2,60849,3160943.55,2021-06-16,1459,INE528K01029
GAMMNINFRA,EQ,2.3,2.3,2.3,2.3,2.3,2.2,571069,1313458.7,2021-06-16,249,INE181G01025
GANDHITUBE,EQ,410,412,376,379.25,376,406.65,194999,75862263.5,2021-06-16,8839,INE524B01027
GANECOS,EQ,555,555,534.1,537.1,537.1,547.9,15922,8628227.05,2021-06-16,1347,INE845D01014
GANESHHOUC,EQ,103.75,103.75,99.25,101.8,101.95,103.4,123090,12521593.55,2021-06-16,1445,INE460C01014
GANGAFORGE,SM,82.75,82.85,82.75,82.8,82.85,82.55,16000,1324800,2021-06-16,2,INE691Z01015
GANGESSECU,EQ,72.75,72.85,70.55,71.4,70.55,71.1,2701,194050.15,2021-06-16,113,INE335W01016
GARFIBRES,EQ,2990,3086.2,2974,3048.35,3059,2996.35,20260,61235234.15,2021-06-16,4140,INE276A01018
GATI,EQ,147,149.35,141.3,146.2,146.5,145.35,2907158,425110343.4,2021-06-16,29080,INE152B01027
GAYAHWS,BE,0.8,0.85,0.75,0.85,0.85,0.8,726749,578548.5,2021-06-16,444,INE287Z01012
GAYAPROJ,EQ,34.2,34.7,33.05,33.1,33.05,33.8,2216855,74356435.95,2021-06-16,8256,INE336H01023
GDL,EQ,316,321.65,310.05,312.5,314.4,319.1,260885,82071809.85,2021-06-16,4506,INE852F01015
GEECEE,EQ,147.05,148.5,143.1,144.15,143.5,146.85,40148,5843432.75,2021-06-16,857,INE916G01016
GEEKAYWIRE,EQ,90,90,88.2,88.8,88.35,88.75,9244,820358.65,2021-06-16,100,INE669X01016
GENCON,EQ,45.55,45.95,45,45.65,45.65,45.95,17880,814632.7,2021-06-16,136,INE854S01022
GENESYS,EQ,111.2,114.35,111,111.95,111.5,112.15,6819,767159.8,2021-06-16,191,INE727B01026
GENUSPAPER,EQ,10.55,10.65,10,10.15,10.1,10.5,632667,6476099.85,2021-06-16,979,INE949P01018
GENUSPOWER,EQ,57.7,58,55.1,55.75,55.45,57.15,336984,18973864.8,2021-06-16,2605,INE955D01029
GEOJITFSL,EQ,79.6,80.6,77,77.3,77.15,79.2,1085663,85360773.5,2021-06-16,8945,INE007B01023
GEPIL,EQ,324,340,318.2,331.75,331.95,318.15,889877,295524621.6,2021-06-16,24553,INE878A01011
GESHIP,EQ,419.95,424,407.6,410.4,411,403.95,1209893,499757959.7,2021-06-16,33359,INE017A01032
GET&D,EQ,138,150.5,136.75,145.1,144.35,137,3646156,533871722.7,2021-06-16,34600,INE200A01026
GFLLIMITED,EQ,75.85,75.85,73.6,73.7,73.6,74.25,60934,4519673.45,2021-06-16,2162,INE538A01037
GFSTEELS,BE,3,3,2.9,2.9,2.9,3,9904,29267.7,2021-06-16,12,INE534A01028
GHCL,EQ,286,293,283,287.2,284.1,285.95,350111,100916963.3,2021-06-16,9558,INE539A01019
GICHSGFIN,EQ,143.5,144.45,141,141.1,141,143.9,264937,37609881.2,2021-06-16,2977,INE289B01019
GICRE,EQ,195.95,202.5,195.15,201.2,202,194.85,2360284,472926451.2,2021-06-16,30372,INE481Y01014
GILLANDERS,EQ,48.65,49,44.6,46.25,46.25,47.05,12181,574722.15,2021-06-16,343,INE047B01011
GILLETTE,EQ,5835,5835,5730,5753.65,5732,5805.4,4118,23789507.45,2021-06-16,1654,INE322A01010
GINNIFILA,EQ,30.95,31.1,29.3,29.65,29.8,30.45,133642,4029871.35,2021-06-16,964,INE424C01010
GIPCL,EQ,87.2,87.4,85.15,85.75,85.9,86.65,634058,54486298.4,2021-06-16,5091,INE162A01010
GKWLIMITED,EQ,595,607.05,570.1,581.4,570.1,591.3,569,334974.05,2021-06-16,246,INE528A01020
GLAND,EQ,3150,3164.6,3124,3141.8,3135,3146.45,159991,504684181.7,2021-06-16,11619,INE068V01023
GLAXO,EQ,1584.95,1589.95,1560,1568.15,1572,1580.15,36410,57182408.55,2021-06-16,3736,INE159A01016
GLENMARK,EQ,641.2,653.9,636.55,642.7,639.15,640.9,3338407,2154342963,2021-06-16,49380,INE935A01035
GLFL,EQ,2.45,2.45,2.25,2.4,2.4,2.3,5300,11975,2021-06-16,8,INE540A01017
GLOBAL,EQ,52.9,53.65,52,52.95,53,52.6,13317,703360.8,2021-06-16,125,INE291W01011
GLOBALVECT,EQ,54.3,55.75,53.45,53.95,54,54.95,8749,474959.2,2021-06-16,308,INE792H01019
GLOBE,BE,82.2,82.2,82.2,82.2,82.2,78.3,34734,2855134.8,2021-06-16,39,INE581X01013
GLOBUSSPR,EQ,424.9,459.8,408,442.2,442,423.2,3210946,1412232424,2021-06-16,84393,INE615I01010
GMBREW,EQ,593.3,593.3,573.05,577.75,582,590.2,65569,38038113.7,2021-06-16,3363,INE075D01018
GMDCLTD,EQ,79,80.6,76.05,78.7,78.6,78.5,2877921,225200872.8,2021-06-16,14111,INE131A01031
GMMPFAUDLR,EQ,4651.2,4720,4615.75,4649.7,4635,4635.4,36304,169559048.3,2021-06-16,5823,INE541A01023
GMRINFRA,EQ,30.85,30.95,29.3,29.65,29.5,30.6,82414537,2476438899,2021-06-16,92775,INE776C01039
GNA,EQ,452.45,455.2,435.5,440.6,436.1,452.45,63372,28274580.6,2021-06-16,4964,INE934S01014
GNFC,EQ,374.3,381,366,371.45,369.8,372.7,1174027,437816591.6,2021-06-16,21527,INE113A01013
GOACARBON,EQ,432.7,440,424,425.2,426.2,431.8,44021,18847197.3,2021-06-16,1793,INE426D01013
GOCLCORP,EQ,271.6,277.3,263,264.75,263.1,270.85,56957,15258413.05,2021-06-16,2664,INE077F01035
GODFRYPHLP,EQ,948.85,948.85,933,936.4,937.4,942.2,46534,43815449.85,2021-06-16,3581,INE260B01028
GODHA,BE,42.5,42.5,39.5,39.55,39.55,40.5,5354,224371,2021-06-16,17,INE925Y01010
GODREJAGRO,EQ,552.5,570,551.05,556.05,555,549.55,593216,333166997.5,2021-06-16,20146,INE850D01014
GODREJCP,EQ,939,942.35,914.4,917.3,916.15,933.7,1447631,1340268892,2021-06-16,55716,INE102D01028
GODREJIND,EQ,549.8,549.8,535.1,538.8,536.5,548.6,73263,39790082.05,2021-06-16,4336,INE233A01035
GODREJPROP,EQ,1432.35,1441.95,1397.65,1410.65,1410.35,1432.35,529836,753659706.6,2021-06-16,22479,INE484J01027
GOENKA,BZ,1.5,1.5,1.45,1.5,1.45,1.45,547886,817222.3,2021-06-16,289,INE516K01024
GOKEX,EQ,135.5,142.95,134.1,140.55,137.95,134.7,833821,115963907.5,2021-06-16,7713,INE887G01027
GOKUL,EQ,32.75,33.1,30.1,31.4,31.3,32.7,166492,5300933.35,2021-06-16,1534,INE020J01029
GOKULAGRO,EQ,44.45,44.5,41.6,42.55,42.6,44.2,269035,11551655.9,2021-06-16,2473,INE314T01025
GOLDBEES,EQ,44.1,44.1,41.92,42.09,42.11,42.05,3525900,148255002,2021-06-16,14211,INF204KB17I5
GOLDENTOBC,EQ,50.35,50.9,47.6,48.1,48,50,15993,779510.1,2021-06-16,357,INE973A01010
GOLDIAM,EQ,437,442,433,435.55,433.1,434.95,89663,39304317.1,2021-06-16,4581,INE025B01017
GOLDSHARE,EQ,42.35,42.5,42.05,42.3,42.35,42.3,95973,4059647.35,2021-06-16,495,INF789F1AUX7
GOLDTECH,EQ,14.6,14.6,13.75,13.85,13.85,14.1,41787,588384.6,2021-06-16,397,INE805A01014
GOODLUCK,EQ,111.4,111.7,108.15,109.65,109.5,110.9,287164,31410605.1,2021-06-16,5089,INE127I01024
GOODYEAR,EQ,994,994.55,982,985.2,985,989.95,43445,42908609.05,2021-06-16,3818,INE533A01012
GPIL,EQ,1444,1494,1410,1439.2,1443,1431.9,359228,521871408.8,2021-06-16,17843,INE177H01013
GPPL,EQ,119.2,121.35,115.15,116.3,115.55,118.95,4364902,516991431.9,2021-06-16,33200,INE517F01014
GPTINFRA,EQ,71.65,74.7,66.2,69.05,66.7,69.8,1383717,100080914.6,2021-06-16,13822,INE390G01014
GRANULES,EQ,329.5,329.7,323,323.7,323.65,328.5,1343017,436773193.3,2021-06-16,18500,INE101D01020
GRAPHITE,EQ,736.4,736.65,720,721.7,720.1,732.8,319307,231785647.9,2021-06-16,13914,INE371A01025
GRASIM,EQ,1495.5,1501.55,1463.9,1469.2,1470.35,1495.25,917679,1357731433,2021-06-16,26517,INE047A01021
GRAVITA,EQ,128,130.5,122.8,124.65,124,127.75,902536,113748317,2021-06-16,14284,INE024L01027
GREAVESCOT,EQ,156.7,156.7,150.1,152.1,151.1,156.8,4213525,642927764.1,2021-06-16,38603,INE224A01026
GREENLAM,EQ,1185,1196.95,1161.5,1177.8,1187,1182.6,3956,4655824.1,2021-06-16,736,INE544R01013
GREENPANEL,BE,233,241.4,224.35,232.45,234.85,232.45,271387,62301685.75,2021-06-16,3794,INE08ZM01014
GREENPLY,EQ,216,216,209.1,210.05,210.5,215.5,799375,168533525.8,2021-06-16,14629,INE461C01038
GREENPOWER,EQ,2.9,3,2.9,3,3,2.9,10415342,31101512.9,2021-06-16,4338,INE999K01014
GRINDWELL,EQ,1179.75,1184.85,1155.05,1158.8,1156.6,1180.1,47358,55096108.35,2021-06-16,7577,INE536A01023
GROBTEA,EQ,917.95,959,917.95,944.75,945,943.3,1109,1044895,2021-06-16,549,INE646C01018
GRPLTD,EQ,1047.35,1060,1024.95,1039.8,1040,1044.65,1323,1368485.5,2021-06-16,93,INE137I01015
GRSE,EQ,200.9,207,197,203.95,201,199.9,602706,122133164.6,2021-06-16,7584,INE382Z01011
GSCLCEMENT,EQ,43.75,50,43.5,48.45,48.55,43.15,7250379,347591173.8,2021-06-16,34571,INE542A01039
GSFC,EQ,117,123.5,114.75,121.65,121.4,117,10958857,1325677399,2021-06-16,59898,INE026A01025
GSPL,EQ,321.8,324.5,306.2,313.1,311.5,318.85,2757560,878445735.2,2021-06-16,41718,INE246F01010
GSS,EQ,68.95,69.4,66,66.35,66.95,68.55,126341,8469565.65,2021-06-16,893,INE871H01011
GTL,EQ,16.25,16.25,16.25,16.25,16.25,15.5,69613,1131211.25,2021-06-16,180,INE043A01012
GTLINFRA,EQ,1.4,1.4,1.4,1.4,1.4,1.35,7230139,10122194.6,2021-06-16,1233,INE221H01019
GTNTEX,EQ,7.65,7.65,7.65,7.65,7.65,7.3,7867,60182.55,2021-06-16,10,INE302H01017
GTPL,EQ,169.5,172.8,165.25,167.25,167.3,171.4,101486,17047788.05,2021-06-16,2962,INE869I01013
GUFICBIO,EQ,182.85,187,179.6,180.8,180,182.35,229901,41941273.9,2021-06-16,6023,INE742B01025
GUJALKALI,EQ,420.15,423.8,412.25,414.55,413.05,419.55,256681,106892172,2021-06-16,5630,INE186A01019
GUJAPOLLO,EQ,238.45,238.5,228.05,232.6,236.95,232.8,12917,3031694.4,2021-06-16,718,INE826C01016
GUJGASLTD,EQ,653.6,657.15,633.85,636.2,637.25,648.7,3487935,2254000890,2021-06-16,66667,INE844O01030
GUJRAFFIA,BE,72.9,72.9,66.5,69.25,69,70,3159,215862.25,2021-06-16,41,INE610B01024
GULFOILLUB,EQ,701,703,691.9,693.25,691.9,695.85,51383,35725169.4,2021-06-16,3412,INE635Q01029
GULFPETRO,EQ,65.15,67.8,64.2,64.65,64.4,66.3,92952,6109455.3,2021-06-16,1684,INE586G01017
GULPOLY,EQ,190.35,195.05,184.25,193.1,189,188.2,290392,55364329.2,2021-06-16,5580,INE255D01024
HAL,EQ,1043,1049.45,1027.5,1029.85,1029,1042,88615,91713945.4,2021-06-16,5867,INE066F01012
HAPPSTMNDS,EQ,927,937.4,912,915.8,916.65,921.35,1565860,1443901113,2021-06-16,56238,INE419U01012
HARRMALAYA,EQ,209,222.7,209,214.15,215.8,208.95,709997,154419054.5,2021-06-16,18306,INE544A01019
HATHWAY,EQ,27.95,28.35,27.15,27.3,27.25,27.75,13479921,371655920.3,2021-06-16,17275,INE982F01036
HATSUN,EQ,942.4,964.95,912.2,922.05,919,938.3,129082,121803973.4,2021-06-16,9794,INE473B01035
HAVELLS,EQ,1021,1022.1,1005,1006.95,1007.35,1017.9,1226060,1238352400,2021-06-16,32512,INE176B01034
HAVISHA,BE,1.55,1.55,1.55,1.55,1.55,1.5,16732,25934.6,2021-06-16,18,INE293B01029
HBANKETF,EQ,349.25,352.67,349,349.73,349.37,351.93,1151,402878.54,2021-06-16,75,INF179KC1AN8
HBLPOWER,EQ,49,49.7,47.45,48.25,48.4,48.7,1859243,90230409.95,2021-06-16,9983,INE292B01021
HBSL,EQ,20.25,21.05,19.6,21.05,21.05,19.15,131107,2695316,2021-06-16,474,INE550B01022
HCC,EQ,11.45,11.9,11.35,11.9,11.9,11.35,16419407,193505576.3,2021-06-16,10799,INE549A01026
HCG,EQ,216.75,216.75,201.25,208.55,210,215.8,186101,39317177.3,2021-06-16,8051,INE075I01017
HCL-INSYS,EQ,17.2,17.3,16.05,17.25,17.3,16.5,4748949,80900262.35,2021-06-16,10315,INE236A01020
HCLTECH,EQ,984.05,986,974,979.4,983,985.45,3138753,3077000647,2021-06-16,111172,INE860A01027
HDFC,EQ,2535,2545,2515.7,2521.45,2522.05,2545.1,2290999,5786943796,2021-06-16,80726,INE001A01036
HDFC,W3,763,767.95,741,743.9,749,765,30000,22490160,2021-06-16,44,INE001A13049
HDFCAMC,EQ,3085.9,3089.9,3045.05,3055.4,3050.7,3083.75,105013,321525149,2021-06-16,13745,INE127D01025
HDFCBANK,EQ,1488,1494,1478.1,1484.6,1485.8,1490.25,3851049,5717899444,2021-06-16,140563,INE040A01034
HDFCLIFE,EQ,696.2,698.1,690,692.15,692,692.55,3092360,2148583237,2021-06-16,95055,INE795G01014
HDFCMFGETF,EQ,43.1,43.18,43,43.1,43.12,43.11,430201,18536950.93,2021-06-16,916,INF179KC1981
HDFCNIFETF,EQ,178.99,178.99,167.55,168.06,167.55,169.03,18525,3119445.66,2021-06-16,362,INF179KC1965
HDFCSENETF,EQ,564.99,567.4,547.73,562.93,562.96,560.06,4890,2744577.3,2021-06-16,157,INF179KC1973
HDIL,BZ,6.45,6.7,6.4,6.4,6.4,6.7,693474,4467988.7,2021-06-16,1043,INE191I01012
HEG,EQ,2261.95,2284,2230,2257.45,2246,2264.75,140909,318478783,2021-06-16,16119,INE545A01016
HEIDELBERG,EQ,248.65,250.75,247.6,248.8,250,248.65,251926,62757041.8,2021-06-16,6063,INE578A01017
HEMIPROP,EQ,150,153.2,146.7,147.7,147.35,150.25,641544,95965896.55,2021-06-16,7973,INE0AJG01018
HEOFRG1126,MF,11.2,11.51,11.2,11.51,11.51,11.35,4050,45970,2021-06-16,4,INF179KC1AH0
HERANBA,EQ,772,773.75,750,752.35,750.2,769.85,294235,223283942.5,2021-06-16,11043,INE694N01015
HERCULES,EQ,148.8,149.85,143.2,145.2,145,147.95,160794,23514727,2021-06-16,4602,INE688E01024
HERITGFOOD,EQ,433.5,434.6,409,414,419.35,431.45,190715,80226716.35,2021-06-16,5558,INE978A01027
HEROMOTOCO,EQ,3008,3014.85,2970,2975.4,2971.05,3007.05,444814,1329178640,2021-06-16,28982,INE158A01026
HESTERBIO,EQ,2640.1,2660,2600,2606.1,2616,2632.8,9666,25323817.35,2021-06-16,2021,INE782E01017
HEXATRADEX,EQ,118.4,121.95,110.4,112.2,115.4,116.15,19843,2288184.05,2021-06-16,282,INE750M01017
HFCL,EQ,50.45,53.9,49,52.8,52.55,50.2,45134485,2338042534,2021-06-16,77555,INE548A01028
HGINFRA,EQ,392.65,407.7,384.05,403.5,402,394.7,235439,93270419.7,2021-06-16,8052,INE926X01010
HGS,EQ,2593,2620,2510.65,2539.65,2539,2591.25,94818,242521668.5,2021-06-16,8866,INE170I01016
HIKAL,EQ,480.8,486.3,461.1,464.4,467,478.2,447386,210992590.8,2021-06-16,14182,INE475B01022
HIL,EQ,4662,4698.2,4550,4572.05,4574.85,4654.8,11298,51973257.8,2021-06-16,3566,INE557A01011
HILTON,BE,13,13,12.6,12.6,12.6,12.85,9425,119620.1,2021-06-16,53,INE788H01017
HIMATSEIDE,EQ,173,176.7,172.1,172.35,172.1,174.8,149120,25979907.65,2021-06-16,5650,INE049A01027
HINDALCO,EQ,387.3,391.35,377,380.25,379.8,390.85,17978012,6859014134,2021-06-16,160885,INE038A01020
HINDCOMPOS,EQ,343.85,348.75,337.45,339.95,337.45,342.05,12491,4256972.45,2021-06-16,1345,INE310C01029
HINDCOPPER,EQ,160,161,156.25,157.1,157.4,162.55,7871560,1242995880,2021-06-16,48454,INE531E01026
HINDMOTORS,EQ,8.75,8.9,8.5,8.65,8.65,8.75,230014,1995151.35,2021-06-16,766,INE253A01025
HINDNATGLS,EQ,47.25,47.25,42.8,46,46,45,738362,33962877.35,2021-06-16,3277,INE952A01022
HINDOILEXP,EQ,114.35,121.5,113.35,117.95,117,112.4,4290289,505594501.8,2021-06-16,33403,INE345A01011
HINDPETRO,EQ,299.85,308,299,304.35,304.7,298.35,8852697,2696595082,2021-06-16,83804,INE094A01015
HINDUNILVR,EQ,2385,2418.85,2383.65,2407.9,2406.5,2391.95,2153668,5182987286,2021-06-16,100285,INE030A01027
HINDZINC,EQ,342,342,328.15,334.2,332,339.95,2476285,824934790.7,2021-06-16,34985,INE267A01025
HIRECT,EQ,167.65,170,163.4,165.2,163.5,167.55,29266,4925690.4,2021-06-16,1194,INE835D01023
HISARMETAL,EQ,130,137.4,122.75,134.75,132.45,127.55,269631,35667009.6,2021-06-16,6290,INE598C01011
HITECH,EQ,419.5,419.5,406,410.55,408,411.5,40221,16490871.75,2021-06-16,876,INE106T01017
HITECHCORP,EQ,243,263.65,239,248.15,246.5,229.5,636839,159565864.6,2021-06-16,26574,INE120D01012
HITECHGEAR,EQ,254,258,238,242.65,242.9,250.45,52657,13119109.4,2021-06-16,3636,INE127B01011
HLEGLAS,EQ,3699.85,3699.85,3560,3617.1,3624,3665.65,7102,25584147.15,2021-06-16,1913,INE461D01010
HLVLTD,EQ,10.25,10.25,9.8,10,10.05,10.05,500498,4970001.15,2021-06-16,1301,INE102A01024
HMT,BZ,31.95,32.35,31.25,32.1,32.2,31.9,11151,353841.65,2021-06-16,70,INE262A01018
HMVL,EQ,103.85,103.85,97.7,98.35,99,103.9,271409,26884295.35,2021-06-16,7497,INE871K01015
HNDFDS,BE,2000,2014,1980,1998.1,2000,2003.75,5259,10499676.1,2021-06-16,993,INE254N01018
HNGSNGBEES,EQ,357,359.45,352.61,355.09,352.62,357.28,853,303912.29,2021-06-16,111,INF204KB19I1
HOMEFIRST,EQ,552.85,554.95,545,549.75,548.8,548.5,170278,93674870.15,2021-06-16,4931,INE481N01025
HONAUT,EQ,40800,40985,40230,40275.35,40288.45,40695.4,6059,244926136.7,2021-06-16,2054,INE671A01010
HONDAPOWER,EQ,1089.9,1089.9,1060.1,1063.95,1061,1077.55,2931,3132910.4,2021-06-16,610,INE634A01018
HOTELRUGBY,EQ,1.8,1.8,1.8,1.8,1.8,1.8,3470,6246,2021-06-16,15,INE275F01019
HOVS,EQ,55.4,55.4,52.9,52.9,52.9,55.65,34598,1846931.15,2021-06-16,748,INE596H01014
HPL,EQ,59.2,60.4,58.2,58.7,58.45,59.2,255066,15144774.9,2021-06-16,1669,INE495S01016
HSCL,EQ,54.8,55.1,53.1,53.65,53.6,54.6,6067237,327158101.9,2021-06-16,20336,INE019C01026
HSIL,EQ,229.8,231.95,221.25,225.8,226.75,228.65,113804,25912411.15,2021-06-16,5426,INE415A01038
HTMEDIA,EQ,28.4,28.45,27.5,27.85,27.95,27.9,480050,13397298,2021-06-16,3194,INE501G01024
HUBTOWN,EQ,31.9,32.6,31.75,32.5,32.5,31.05,191390,6201109.1,2021-06-16,817,INE703H01016
HUDCO,EQ,53.05,53.3,51.5,51.7,51.7,52.9,2805965,146492270.9,2021-06-16,9434,INE031A01017
HUDCO,N2,1250,1250,1245,1245,1245,1250,33030,41156199.45,2021-06-16,18,INE031A07840
HUDCO,N3,1054,1054,1051,1051,1051,1049.02,6272,6601422,2021-06-16,9,INE031A07832
HUDCO,N4,1089.49,1089.49,1080,1083,1083,1071.85,102,110641.39,2021-06-16,4,INE031A07857
HUDCO,N5,1196,1196,1194.62,1194.92,1195,1194.6,1005,1200962,2021-06-16,12,INE031A07865
HUDCO,N8,1248,1248,1247.75,1247.77,1247.75,1247.96,1100,1372664,2021-06-16,6,INE031A07AO5
HUDCO,N9,1265.3,1274.79,1265.3,1274.52,1274.79,1265,23,29304.89,2021-06-16,4,INE031A07AT4
HUDCO,NA,1136.61,1139,1136.61,1139,1139,1335.97,4,4551.22,2021-06-16,2,INE031A07907
HUDCO,ND,1307,1309.5,1306.06,1309.5,1309.5,1318,566,740443.14,2021-06-16,16,INE031A07949
HUHTAMAKI,EQ,298,300.9,291.8,298.15,295.5,298.4,156027,46139255.45,2021-06-16,4360,INE275B01026
IBMFNIFTY,EQ,161.96,161.96,159.5,160.98,160.99,161.96,174,27923.97,2021-06-16,51,INF666M01FS5
IBREALEST,EQ,110.5,111.4,107,108.7,108.5,110.65,8514574,930852199.9,2021-06-16,36014,INE069I01010
IBUCCREDIT,N6,1043.5,1043.5,1043.5,1043.5,1043.5,1042.8,20,20870,2021-06-16,1,INE244L07101
IBUCCREDIT,NB,923.8,923.8,917.8,917.8,917.8,901.5,89,81723,2021-06-16,6,INE244L07168
IBULHSGFIN,EQ,312.5,313.7,292.45,298.8,296.4,308.5,53473706,16198215568,2021-06-16,358571,INE148I01020
IBULHSGFIN,N6,1055,1055,1055,1055,1055,1055,20,21100,2021-06-16,2,INE148I07GF5
IBULHSGFIN,NF,937.26,937.26,937.26,937.26,937.26,781.05,150,140589,2021-06-16,1,INE148I08272
ICEMAKE,EQ,84,94.15,80.5,90.85,90,82.1,244232,21651334.1,2021-06-16,2306,INE520Y01019
ICICI500,EQ,226.75,226.75,222.1,222.82,222.1,223.4,1617,360861.83,2021-06-16,191,INF109KC1CZ3
ICICIALPLV,EQ,160,160.49,158.01,158.39,158.4,159.04,4594,728444,2021-06-16,183,INF109KC1N59
ICICIB22,EQ,39.91,40.42,39.22,40.11,40.15,40.2,326627,13115664.02,2021-06-16,2402,INF109KB15Y7
ICICIBANK,EQ,644.9,649.2,637.6,640.1,639.15,645.3,8601339,5524532382,2021-06-16,111274,INE090A01021
ICICIBANKN,EQ,359.7,359.7,347.01,347.4,347.25,349.76,8676,3031396.47,2021-06-16,312,INF109KC1E27
ICICIBANKP,EQ,187,187,180.97,181.12,181.88,182.08,2339,425485.51,2021-06-16,127,INF109KC1E35
